name,date,processed_cbm
Calcasieu Pass LNG Terminal,2020-01-01,174000
Hammerfest LNG Snohvit Terminal,2020-01-01,166686
Sabine Pass LNG Terminal,2020-01-01,160000
Freeport LNG Terminal,2020-01-02,173000
Pluto LNG Terminal,2020-01-02,127525
Rasgas LNG Terminal 3,2020-01-02,217000
Sabine Pass LNG Terminal,2020-01-02,180000
Yamal LNG Terminal,2020-01-02,172000
Gorgon LNG Terminal,2020-01-03,152615
Rasgas LNG Terminal 3,2020-01-03,216000
Sabine Pass LNG Terminal,2020-01-03,174000
Yamal LNG Terminal,2020-01-03,170000
Das Island LNG Terminal,2020-01-04,137000
Queensland Curtis LNG Terminal,2020-01-04,174000
Rasgas LNG Terminal 3,2020-01-04,266000
Yamal LNG Terminal,2020-01-04,170000
Nigeria LNG Terminal,2020-01-05,175000
Risavika LNG Terminal,2020-01-05,18000
Yamal LNG Terminal,2020-01-05,170000
Hammerfest LNG Snohvit Terminal,2020-01-06,147208
Rasgas LNG Terminal 3,2020-01-06,266000
Lysekil LNG Terminal,2020-01-07,18000
Sabine Pass LNG Terminal,2020-01-07,164000
Arzew-Bethioua LNG Terminal,2020-01-08,75500
Freeport LNG Terminal,2020-01-08,174000
Pluto LNG Terminal,2020-01-08,127544
Rasgas LNG Terminal 3,2020-01-08,474220
South Hook LNG Terminal,2020-01-08,166686
Nigeria LNG Terminal,2020-01-09,170000
Rasgas LNG Terminal 3,2020-01-09,692220
Sabine Pass LNG Terminal,2020-01-09,149700
Sakhalin II LNG Terminal,2020-01-09,150000
Yamal LNG Terminal,2020-01-09,170000
Fos Tonkin LNG Terminal,2020-01-10,75500
Hammerfest LNG Snohvit Terminal,2020-01-10,147208
Punta Europa LNG Terminal,2020-01-10,167062
Sabine Pass LNG Terminal,2020-01-10,175000
Bilbao LNG Terminal,2020-01-11,172000
Corpus Christi LNG Terminal,2020-01-11,180000
Queensland Curtis LNG Terminal,2020-01-11,167000
Sabine Pass LNG Terminal,2020-01-11,138000
Yamal LNG Terminal,2020-01-11,346000
Gorgon LNG Terminal,2020-01-12,167000
Sabine Pass LNG Terminal,2020-01-12,180000
Sines LNG Terminal,2020-01-12,160000
Sodegaura LNG Terminal,2020-01-12,174000
Hitachi LNG Terminal,2020-01-13,127525
Marmara LNG Terminal,2020-01-13,216000
Sabine Pass LNG Terminal,2020-01-13,174000
Yamal LNG Terminal,2020-01-13,172000
Zeebrugge LNG Terminal,2020-01-13,170000
Atlantic LNG Terminal,2020-01-14,138120
Boryeong LNG Terminal,2020-01-14,152615
Grain LNG Terminal,2020-01-14,170000
Oman Qalhat LNG Terminal,2020-01-14,166000
Rasgas LNG Terminal 3,2020-01-14,145663
Świnoujście Polskie LNG Terminal,2020-01-14,147208
Gorgon LNG Terminal,2020-01-15,152482
Hammerfest LNG Snohvit Terminal,2020-01-15,142759
Nigeria LNG Terminal,2020-01-15,180000
Pluto LNG Terminal,2020-01-15,125452
Risavika LNG Terminal,2020-01-15,18000
Gate LNG Terminal,2020-01-16,170000
Grain LNG Terminal,2020-01-16,174000
Rasgas LNG Terminal 3,2020-01-16,261700
Yamal LNG Terminal,2020-01-16,170000
Arzew-Bethioua LNG Terminal,2020-01-17,75500
Atlantic LNG Terminal,2020-01-17,142612
GasPort FSRU,2020-01-17,166000
Izmir Aliaga LNG Terminal,2020-01-17,180000
Lysekil LNG Terminal,2020-01-17,18000
Tianjin LNG Terminal (Sinopec),2020-01-17,150000
Yamal LNG Terminal,2020-01-17,173000
Calcasieu Pass LNG Terminal,2020-01-18,170000
Nigeria LNG Terminal,2020-01-18,170000
Pluto LNG Terminal,2020-01-18,160000
Rasgas LNG Terminal 3,2020-01-18,210166
GasPort FSRU,2020-01-19,145663
Gate LNG Terminal,2020-01-19,142759
Himeji LNG Terminal,2020-01-19,127544
Nigeria LNG Terminal,2020-01-19,137300
Qidong LNG Terminal,2020-01-19,266000
Queensland Curtis LNG Terminal,2020-01-19,165500
Rasgas LNG Terminal 3,2020-01-19,692200
Sabine Pass LNG Terminal,2020-01-19,174000
Yamal LNG Terminal,2020-01-19,173000
Incheon LNG Terminal,2020-01-20,217000
Rasgas LNG Terminal 3,2020-01-20,266398
Sabine Pass LNG Terminal,2020-01-20,173000
Izmir Aliaga LNG Terminal,2020-01-21,209220
Pluto LNG Terminal,2020-01-21,125000
Sodegaura LNG Terminal,2020-01-21,137000
Wheatstone LNG Terminal,2020-01-21,173000
Atlantic LNG Terminal,2020-01-22,159800
Calcasieu Pass LNG Terminal,2020-01-22,160000
Dalian LNG Terminal,2020-01-22,167000
Grain LNG Terminal,2020-01-22,147208
Hammerfest LNG Snohvit Terminal,2020-01-22,174000
Incheon LNG Terminal,2020-01-22,265000
Rasgas LNG Terminal 3,2020-01-22,209220
Vysotsk LNG Terminal,2020-01-22,18000
Xintian Tangshan LNG Terminal,2020-01-22,266000
Zeebrugge LNG Terminal,2020-01-22,343000
Dunkirk LNG Terminal,2020-01-23,172000
Everett Marine Terminal,2020-01-23,138120
Fos Tonkin LNG Terminal,2020-01-23,75500
Gorgon LNG Terminal,2020-01-23,174000
Shandong LNG Terminal,2020-01-23,167000
South Hook LNG Terminal,2020-01-23,164000
Corpus Christi LNG Terminal,2020-01-24,145494
Elba Island LNG Terminal,2020-01-24,138517
GasPort FSRU,2020-01-24,210166
Gate LNG Terminal,2020-01-24,170000
Incheon LNG Terminal,2020-01-24,266000
Pichilingue LNG Terminal,2020-01-24,174000
Rasgas LNG Terminal 3,2020-01-24,210100
Tornio Manga LNG Terminal,2020-01-24,18000
Yamal LNG Terminal,2020-01-24,173400
Barcelona LNG Terminal,2020-01-25,173000
Gorgon LNG Terminal,2020-01-25,155000
Hammerfest LNG Snohvit Terminal,2020-01-25,147208
Huelva LNG Terminal,2020-01-25,180000
Mejillones LNG Terminal,2020-01-25,175000
Nigeria LNG Terminal,2020-01-25,148300
South Hook LNG Terminal,2020-01-25,217000
Yamal LNG Terminal,2020-01-25,173000
Bilbao LNG Terminal,2020-01-26,173000
Grain LNG Terminal,2020-01-26,142612
Hazira LNG Terminal,2020-01-26,170000
Sines LNG Terminal,2020-01-26,180000
Toscana FSRU,2020-01-26,149700
Yamal LNG Terminal,2020-01-26,170000
Yokkaichi Works LNG Terminal,2020-01-26,209220
Guangxi LNG Terminal,2020-01-27,152482
Queensland Curtis LNG Terminal,2020-01-27,167000
Sabine Pass LNG Terminal,2020-01-27,174000
Yokkaichi Works LNG Terminal,2020-01-27,125452
Dunkirk LNG Terminal,2020-01-28,173000
Pluto LNG Terminal,2020-01-28,174000
Rasgas LNG Terminal 3,2020-01-28,477700
Arzew-Bethioua LNG Terminal,2020-01-29,75500
Calcasieu Pass LNG Terminal,2020-01-29,177000
Grain LNG Terminal,2020-01-29,174000
Pluto LNG Terminal,2020-01-29,127525
Atlantic LNG Terminal,2020-01-30,174000
Bilbao LNG Terminal,2020-01-30,167062
Cartagena LNG Terminal (Spain),2020-01-30,170000
Hammerfest LNG Snohvit Terminal,2020-01-30,142759
Pluto LNG Terminal,2020-01-30,160000
Rasgas LNG Terminal 3,2020-01-30,432400
Sodegaura LNG Terminal,2020-01-30,173000
Gorgon LNG Terminal,2020-01-31,172000
Panigaglia LNG Terminal,2020-01-31,75500
Rasgas LNG Terminal 3,2020-01-31,426366
Sabine Pass LNG Terminal,2020-01-31,138120
Saint John LNG Terminal,2020-01-31,159800
Sakhalin II LNG Terminal,2020-01-31,150000
Yamal LNG Terminal,2020-01-31,170000
Świnoujście Polskie LNG Terminal,2020-01-31,147208
Dabhol LNG Terminal,2020-02-01,175000
Gorgon LNG Terminal,2020-02-01,164000
Himeji LNG Terminal,2020-02-01,165500
Nigeria LNG Terminal,2020-02-01,170000
Rasgas LNG Terminal 3,2020-02-01,216000
Senboku 2 LNG Terminal,2020-02-01,125000
Calcasieu Pass LNG Terminal,2020-02-02,155000
Corpus Christi LNG Terminal,2020-02-02,160000
GasPort FSRU,2020-02-02,216000
Lysekil LNG Terminal,2020-02-02,18000
Rasgas LNG Terminal 3,2020-02-02,209220
Risavika LNG Terminal,2020-02-02,18000
Sabine Pass LNG Terminal,2020-02-02,335000
Yamal LNG Terminal,2020-02-02,172000
Zhoushan LNG Terminal,2020-02-02,155000
Freeport LNG Terminal,2020-02-03,174000
Hammerfest LNG Snohvit Terminal,2020-02-03,142612
Hazira LNG Terminal,2020-02-03,216200
Izmir Aliaga LNG Terminal,2020-02-03,174000
Montoir LNG Terminal,2020-02-03,173400
Sabine Pass LNG Terminal,2020-02-03,159800
Sodegaura LNG Terminal,2020-02-03,160000
South Hook LNG Terminal,2020-02-03,421700
Yamal LNG Terminal,2020-02-03,172000
Yokkaichi Works LNG Terminal,2020-02-03,173000
Corpus Christi LNG Terminal,2020-02-04,160000
Gate LNG Terminal,2020-02-04,173000
Grain LNG Terminal,2020-02-04,170000
Map Ta Phut LNG Terminal 2,2020-02-04,209220
Pluto LNG Terminal,2020-02-04,127544
Pyeongtaek LNG Terminal,2020-02-04,266000
Yamal LNG Terminal,2020-02-04,170000
Atlantic LNG Terminal,2020-02-05,138059
Calcasieu Pass LNG Terminal,2020-02-05,173400
Himeji LNG Terminal,2020-02-05,216200
Nigeria LNG Terminal,2020-02-05,141000
Rasgas LNG Terminal 3,2020-02-05,681072
Sabine Pass LNG Terminal,2020-02-05,174000
Toyama Shinko LNG Terminal,2020-02-05,174000
Wheatstone LNG Terminal,2020-02-05,152482
Arzew-Bethioua LNG Terminal,2020-02-06,75500
Freeport LNG Terminal,2020-02-06,180000
Gorgon LNG Terminal,2020-02-06,167000
Izmir Aliaga LNG Terminal,2020-02-06,173000
Jieyang LNG Terminal (PipeChina),2020-02-06,174000
Klaipeda FSRU,2020-02-06,142759
Pluto LNG Terminal,2020-02-06,125452
Queensland Curtis LNG Terminal,2020-02-06,167000
Rasgas LNG Terminal 3,2020-02-06,266000
South Hook LNG Terminal,2020-02-06,210000
Yamal LNG Terminal,2020-02-06,173000
Corpus Christi LNG Terminal,2020-02-07,164000
Gate LNG Terminal,2020-02-07,142612
Marmara LNG Terminal,2020-02-07,148300
Rasgas LNG Terminal 3,2020-02-07,698000
Sabine Pass LNG Terminal,2020-02-07,174000
Senboku 2 LNG Terminal,2020-02-07,174000
Yamal LNG Terminal,2020-02-07,345000
Yokkaichi Works LNG Terminal,2020-02-07,150000
Zeebrugge LNG Terminal,2020-02-07,170000
Atlantic LNG Terminal,2020-02-08,159800
Hammerfest LNG Snohvit Terminal,2020-02-08,147208
Montoir LNG Terminal,2020-02-08,137300
Nigeria LNG Terminal,2020-02-08,180000
Panigaglia LNG Terminal,2020-02-08,75500
Sabine Pass LNG Terminal,2020-02-08,174000
Yamal LNG Terminal,2020-02-08,173000
Yung-An LNG Terminal,2020-02-08,167000
Rasgas LNG Terminal 3,2020-02-09,749335
Yamal LNG Terminal,2020-02-09,170000
Calcasieu Pass LNG Terminal,2020-02-10,177000
Gorgon LNG Terminal,2020-02-10,172000
Izmir Aliaga LNG Terminal,2020-02-10,138517
Nigeria LNG Terminal,2020-02-11,174000
Taichung LNG Terminal,2020-02-11,138000
Corpus Christi LNG Terminal,2020-02-12,160000
Rasgas LNG Terminal 3,2020-02-12,210000
Sines LNG Terminal,2020-02-12,170000
Toyama Shinko LNG Terminal,2020-02-12,127525
Zeebrugge LNG Terminal,2020-02-12,172000
Gorgon LNG Terminal,2020-02-13,154948
Grain LNG Terminal,2020-02-13,172000
Hammerfest LNG Snohvit Terminal,2020-02-13,147208
Izmir Aliaga LNG Terminal,2020-02-13,145494
Sabine Pass LNG Terminal,2020-02-13,149700
Yamal LNG Terminal,2020-02-13,343000
Arzew-Bethioua LNG Terminal,2020-02-14,75500
Cartagena LNG Terminal (Spain),2020-02-14,175000
Corpus Christi LNG Terminal,2020-02-14,154880
Nigeria LNG Terminal,2020-02-14,149600
Pyeongtaek LNG Terminal,2020-02-14,164000
South Hook LNG Terminal,2020-02-14,210100
Vysotsk LNG Terminal,2020-02-14,18000
Yamal LNG Terminal,2020-02-14,170000
Zeebrugge LNG Terminal,2020-02-14,170000
Arzew-Bethioua LNG Terminal,2020-02-15,75500
Huelva LNG Terminal,2020-02-15,160000
Penuelas LNG Terminal,2020-02-15,138059
Rasgas LNG Terminal 3,2020-02-15,215100
Sabine Pass LNG Terminal,2020-02-15,155000
Yamal LNG Terminal,2020-02-15,173400
Fos Tonkin LNG Terminal,2020-02-16,75500
Marmara LNG Terminal,2020-02-16,209220
Mizushima LNG Terminal,2020-02-16,127544
Nigeria LNG Terminal,2020-02-16,170000
Panigaglia LNG Terminal,2020-02-16,75500
Rasgas LNG Terminal 3,2020-02-16,216000
Sabine Pass LNG Terminal,2020-02-16,174000
Zeebrugge LNG Terminal,2020-02-16,173000
Dunkirk LNG Terminal,2020-02-17,173000
Gate LNG Terminal,2020-02-17,160000
Hammerfest LNG Snohvit Terminal,2020-02-17,142759
Nigeria LNG Terminal,2020-02-17,170000
Pluto LNG Terminal,2020-02-17,125000
Queensland Curtis LNG Terminal,2020-02-17,165500
Sabine Pass LNG Terminal,2020-02-17,135000
Yamal LNG Terminal,2020-02-17,170000
Zeebrugge LNG Terminal,2020-02-17,382166
Barcelona LNG Terminal,2020-02-18,159800
Mejillones LNG Terminal,2020-02-18,174000
Pluto LNG Terminal,2020-02-18,173000
Senboku 2 LNG Terminal,2020-02-18,167000
Sodegaura LNG Terminal,2020-02-18,216200
Tornio Manga LNG Terminal,2020-02-18,18000
Toscana FSRU,2020-02-18,159800
Yokkaichi Works LNG Terminal,2020-02-18,152482
Bilbao LNG Terminal,2020-02-19,174000
Incheon LNG Terminal,2020-02-19,174000
Nigeria LNG Terminal,2020-02-19,159800
Sabine Pass LNG Terminal,2020-02-19,180000
Sines LNG Terminal,2020-02-19,173000
Zeebrugge LNG Terminal,2020-02-19,170000
Hazira LNG Terminal,2020-02-20,215100
Himeji LNG Terminal,2020-02-20,172000
Marmara LNG Terminal,2020-02-20,217000
Pyeongtaek LNG Terminal,2020-02-20,180000
Rasgas LNG Terminal 3,2020-02-20,265000
Wuhaogou LNG Storage Facility,2020-02-20,170000
Xintian Tangshan LNG Terminal,2020-02-20,266398
GasPort FSRU,2020-02-21,216000
Grain LNG Terminal,2020-02-21,160000
Montoir LNG Terminal,2020-02-21,180000
Rasgas LNG Terminal 3,2020-02-21,145663
Yamal LNG Terminal,2020-02-21,344000
Zeebrugge LNG Terminal,2020-02-21,173400
Corpus Christi LNG Terminal,2020-02-22,170000
Gate LNG Terminal,2020-02-22,170000
Grain LNG Terminal,2020-02-22,173000
Huelva LNG Terminal,2020-02-22,147208
Izmir Aliaga LNG Terminal,2020-02-22,180000
Qidong LNG Terminal,2020-02-22,261700
Rasgas LNG Terminal 3,2020-02-22,432400
Arzew-Bethioua LNG Terminal,2020-02-23,75500
Calcasieu Pass LNG Terminal,2020-02-23,166000
Freeport LNG Terminal,2020-02-23,174000
Quintero LNG Terminal,2020-02-23,174000
Rasgas LNG Terminal 3,2020-02-23,261700
Revithoussa LNG Terminal,2020-02-23,210152
Sabine Pass LNG Terminal,2020-02-23,162000
South Hook LNG Terminal,2020-02-23,155000
Xintian Tangshan LNG Terminal,2020-02-23,167000
Yamal LNG Terminal,2020-02-23,170000
Corpus Christi LNG Terminal,2020-02-24,151900
Gorgon LNG Terminal,2020-02-24,170000
Map Ta Phut LNG Terminal 2,2020-02-24,216000
Montoir LNG Terminal,2020-02-24,170000
Mundra LNG Terminal,2020-02-24,216000
Nigeria LNG Terminal,2020-02-24,148300
Queensland Curtis LNG Terminal,2020-02-24,167000
Wheatstone LNG Terminal,2020-02-24,155000
Yamal LNG Terminal,2020-02-24,173000
Arzew-Bethioua LNG Terminal,2020-02-25,170000
Atlantic LNG Terminal,2020-02-25,138517
Das Island LNG Terminal,2020-02-25,137100
Gate LNG Terminal,2020-02-25,177000
Klaipeda FSRU,2020-02-25,142759
Map Ta Phut LNG Terminal 2,2020-02-25,173000
Sabine Pass LNG Terminal,2020-02-25,151812
Sodegaura LNG Terminal,2020-02-25,216000
Tianjin LNG Terminal (Sinopec),2020-02-25,154948
Yamal LNG Terminal,2020-02-25,173000
Fos Tonkin LNG Terminal,2020-02-26,75500
GasPort FSRU,2020-02-26,145663
Gorgon LNG Terminal,2020-02-26,174000
Pluto LNG Terminal,2020-02-26,127525
Qidong LNG Terminal,2020-02-26,261700
Rasgas LNG Terminal 3,2020-02-26,216000
Yamal LNG Terminal,2020-02-26,172000
Zeebrugge LNG Terminal,2020-02-26,170000
Incheon LNG Terminal,2020-02-27,265000
Izmir Aliaga LNG Terminal,2020-02-27,164000
Marmara LNG Terminal,2020-02-27,210000
Queensland Curtis LNG Terminal,2020-02-27,174000
Rasgas LNG Terminal 3,2020-02-27,210000
Sabine Pass LNG Terminal,2020-02-27,173000
Yamal LNG Terminal,2020-02-27,170000
Zeebrugge LNG Terminal,2020-02-27,155000
Arzew-Bethioua LNG Terminal,2020-02-28,138058
Corpus Christi LNG Terminal,2020-02-28,159700
Hammerfest LNG Snohvit Terminal,2020-02-28,142612
Hazira LNG Terminal,2020-02-28,172000
Huelva LNG Terminal,2020-02-28,154880
Ohgishima LNG Terminal,2020-02-28,174000
Rasgas LNG Terminal 3,2020-02-28,217000
Sabine Pass LNG Terminal,2020-02-28,159274
Sines LNG Terminal,2020-02-28,135000
Tianjin LNG Terminal (Sinopec),2020-02-28,174000
Zeebrugge LNG Terminal,2020-02-28,172000
Himeji LNG Terminal,2020-02-29,165500
Pluto LNG Terminal,2020-02-29,138000
Rasgas LNG Terminal 3,2020-02-29,145663
Yamal LNG Terminal,2020-02-29,173000
Arzew-Bethioua LNG Terminal,2020-03-01,75500
Calcasieu Pass LNG Terminal,2020-03-01,180000
Nigeria LNG Terminal,2020-03-01,145926
Pluto LNG Terminal,2020-03-01,165000
Rasgas LNG Terminal 3,2020-03-01,347220
Yamal LNG Terminal,2020-03-01,173400
Zeebrugge LNG Terminal,2020-03-01,172000
Atlantic LNG Terminal,2020-03-02,138059
Fos Tonkin LNG Terminal,2020-03-02,174000
Gate LNG Terminal,2020-03-02,170000
Montoir LNG Terminal,2020-03-02,141000
Nigeria LNG Terminal,2020-03-02,148300
Rasgas LNG Terminal 3,2020-03-02,216000
Sabine Pass LNG Terminal,2020-03-02,175000
South Hook LNG Terminal,2020-03-02,267335
Yamal LNG Terminal,2020-03-02,173000
Yanai LNG Terminal,2020-03-02,125000
Yokkaichi Works LNG Terminal,2020-03-02,177000
Calcasieu Pass LNG Terminal,2020-03-03,160000
Dörtyol FSRU,2020-03-03,170000
Fos Tonkin LNG Terminal,2020-03-03,138058
Freeport LNG Terminal,2020-03-03,174000
Hammerfest LNG Snohvit Terminal,2020-03-03,147208
Nigeria LNG Terminal,2020-03-03,145952
Pichilingue LNG Terminal,2020-03-03,149700
South Hook LNG Terminal,2020-03-03,216200
Taichung LNG Terminal,2020-03-03,138120
Yamal LNG Terminal,2020-03-03,170000
Zeebrugge LNG Terminal,2020-03-03,173000
Gate LNG Terminal,2020-03-04,172000
Nigeria LNG Terminal,2020-03-04,175000
Shandong LNG Terminal,2020-03-04,167000
South Hook LNG Terminal,2020-03-04,266000
Yamal LNG Terminal,2020-03-04,170000
Cartagena LNG Terminal (Spain),2020-03-05,209220
Grain LNG Terminal,2020-03-05,173000
Klaipeda FSRU,2020-03-05,142612
Panigaglia LNG Terminal,2020-03-05,75500
Queensland Curtis LNG Terminal,2020-03-05,167000
South Hook LNG Terminal,2020-03-05,266000
Dabhol LNG Terminal,2020-03-06,137100
Gorgon LNG Terminal,2020-03-06,152615
Himeji LNG Terminal,2020-03-06,125452
Qidong LNG Terminal,2020-03-06,174000
Barcelona LNG Terminal,2020-03-07,166000
Fos Tonkin LNG Terminal,2020-03-07,174000
GasPort FSRU,2020-03-07,173400
Gate LNG Terminal,2020-03-07,147208
Pluto LNG Terminal,2020-03-07,174000
Rasgas LNG Terminal 3,2020-03-07,216200
Revithoussa LNG Terminal,2020-03-07,216200
Toyama Shinko LNG Terminal,2020-03-07,170000
Xintian Tangshan LNG Terminal,2020-03-07,265000
Zeebrugge LNG Terminal,2020-03-07,173000
Pyeongtaek LNG Terminal,2020-03-08,174000
Rasgas LNG Terminal 3,2020-03-08,210100
Sabine Pass LNG Terminal,2020-03-08,335000
Yamal LNG Terminal,2020-03-08,173000
Barcelona LNG Terminal,2020-03-09,170000
Bilbao LNG Terminal,2020-03-09,170000
Everett Marine Terminal,2020-03-09,138059
GasPort FSRU,2020-03-09,145663
Hakodate LNG Terminal,2020-03-09,155000
Hazira LNG Terminal,2020-03-09,149600
Himeji LNG Terminal,2020-03-09,160000
Pluto LNG Terminal,2020-03-09,145958
Yamal LNG Terminal,2020-03-09,172000
Arzew-Bethioua LNG Terminal,2020-03-10,308058
Grain LNG Terminal,2020-03-10,151812
Izmir Aliaga LNG Terminal,2020-03-10,216000
Rasgas LNG Terminal 3,2020-03-10,717700
Tobata LNG Terminal,2020-03-10,127525
Bilbao LNG Terminal,2020-03-11,173400
Incheon LNG Terminal,2020-03-11,261700
Ohgishima LNG Terminal,2020-03-11,165000
Pluto LNG Terminal,2020-03-11,127544
Rasgas LNG Terminal 3,2020-03-11,261700
Zeebrugge LNG Terminal,2020-03-11,335000
Sabine Pass LNG Terminal,2020-03-12,165772
Sodegaura LNG Terminal,2020-03-12,216200
Yamal LNG Terminal,2020-03-12,170000
Freeport LNG Terminal,2020-03-13,180000
GasPort FSRU,2020-03-13,216200
Rasgas LNG Terminal 3,2020-03-13,355700
Zeebrugge LNG Terminal,2020-03-13,170000
Gorgon LNG Terminal,2020-03-14,167000
Hammerfest LNG Snohvit Terminal,2020-03-14,147208
Map Ta Phut LNG Terminal 2,2020-03-14,217000
Queensland Curtis LNG Terminal,2020-03-14,165500
Sines LNG Terminal,2020-03-14,173000
Wheatstone LNG Terminal,2020-03-14,154948
Yamal LNG Terminal,2020-03-14,173000
Zeebrugge LNG Terminal,2020-03-14,159700
Atlantic LNG Terminal,2020-03-15,135000
Dunkirk LNG Terminal,2020-03-15,147208
Fos Tonkin LNG Terminal,2020-03-15,170000
Pluto LNG Terminal,2020-03-15,174000
South Hook LNG Terminal,2020-03-15,170000
Wheatstone LNG Terminal,2020-03-15,173000
Dörtyol FSRU,2020-03-16,138058
Pyeongtaek LNG Terminal,2020-03-16,174000
Rasgas LNG Terminal 3,2020-03-16,572052
Taichung LNG Terminal,2020-03-16,138000
Vysotsk LNG Terminal,2020-03-16,18000
Yamal LNG Terminal,2020-03-16,345000
GasPort FSRU,2020-03-17,216200
Nigeria LNG Terminal,2020-03-17,174000
Queensland Curtis LNG Terminal,2020-03-17,173673
Rasgas LNG Terminal 3,2020-03-17,145663
Sines LNG Terminal,2020-03-17,145952
Zeebrugge LNG Terminal,2020-03-17,172000
Hammerfest LNG Snohvit Terminal,2020-03-18,154880
Pluto LNG Terminal,2020-03-18,125452
Rasgas LNG Terminal 3,2020-03-18,209220
Sabine Pass LNG Terminal,2020-03-18,160000
South Hook LNG Terminal,2020-03-18,174000
Tornio Manga LNG Terminal,2020-03-18,18000
Yamal LNG Terminal,2020-03-18,173000
Yanai LNG Terminal,2020-03-18,138000
Yung-An LNG Terminal,2020-03-18,180000
Zeebrugge LNG Terminal,2020-03-18,210000
Hazira LNG Terminal,2020-03-20,145700
Montoir LNG Terminal,2020-03-20,173000
Rasgas LNG Terminal 3,2020-03-20,354220
Sabine Pass LNG Terminal,2020-03-20,174000
Sines LNG Terminal,2020-03-20,147208
Yokkaichi Works LNG Terminal,2020-03-20,170000
Zeebrugge LNG Terminal,2020-03-20,170000
Dalian LNG Terminal,2020-03-21,159800
Gate LNG Terminal,2020-03-21,160000
Hazira LNG Terminal,2020-03-21,209220
Sabine Pass LNG Terminal,2020-03-21,174000
South Hook LNG Terminal,2020-03-21,148300
Yamal LNG Terminal,2020-03-21,170000
Calcasieu Pass LNG Terminal,2020-03-22,180082
Ohgishima LNG Terminal,2020-03-22,127544
Punta Europa LNG Terminal,2020-03-22,155000
Yung-An LNG Terminal,2020-03-22,167000
Zhoushan LNG Terminal,2020-03-22,154948
Świnoujście Polskie LNG Terminal,2020-03-22,209220
GasPort FSRU,2020-03-23,210152
Hammerfest LNG Snohvit Terminal,2020-03-23,147208
Marmara LNG Terminal,2020-03-23,210100
Ohgishima LNG Terminal,2020-03-23,152615
Risavika LNG Terminal,2020-03-23,18000
Sabine Pass LNG Terminal,2020-03-23,323100
Sodegaura LNG Terminal,2020-03-23,216000
Wenzhou LNG Terminal,2020-03-23,210100
Yamal LNG Terminal,2020-03-23,170000
Zeebrugge LNG Terminal,2020-03-23,172000
Klaipeda FSRU,2020-03-24,154880
Pluto LNG Terminal,2020-03-24,127525
Tianjin LNG Terminal (Sinopec),2020-03-24,174000
Zhuhai LNG Terminal,2020-03-24,145958
Freeport LNG Terminal,2020-03-25,174000
Rasgas LNG Terminal 3,2020-03-25,367700
Sodegaura LNG Terminal,2020-03-25,173000
Taichung LNG Terminal,2020-03-25,145700
Zeebrugge LNG Terminal,2020-03-25,173000
Das Island LNG Terminal,2020-03-26,135000
Lysekil LNG Terminal,2020-03-26,18000
Montoir LNG Terminal,2020-03-26,173000
Sabine Pass LNG Terminal,2020-03-26,160000
Senboku 2 LNG Terminal,2020-03-26,174000
Barcelona LNG Terminal,2020-03-27,180000
Gate LNG Terminal,2020-03-27,160000
Izmir Aliaga LNG Terminal,2020-03-27,148300
Krk FSRU,2020-03-27,145700
Rasgas LNG Terminal 3,2020-03-27,266000
Sabine Pass LNG Terminal,2020-03-27,151812
Yamal LNG Terminal,2020-03-27,172000
Calcasieu Pass LNG Terminal,2020-03-28,174000
Dalian LNG Terminal,2020-03-28,167000
Gate LNG Terminal,2020-03-28,173000
Incheon LNG Terminal,2020-03-28,261700
Ohgishima LNG Terminal,2020-03-28,173673
Penuelas LNG Terminal,2020-03-28,135000
Rasgas LNG Terminal 3,2020-03-28,427152
Freeport LNG Terminal,2020-03-29,174000
Hammerfest LNG Snohvit Terminal,2020-03-29,142612
Krk FSRU,2020-03-29,145700
Map Ta Phut LNG Terminal 2,2020-03-29,159274
Rasgas LNG Terminal 3,2020-03-29,138000
Sodegaura LNG Terminal,2020-03-29,125452
Atlantic LNG Terminal,2020-03-30,174000
Hazira LNG Terminal,2020-03-30,145926
Rasgas LNG Terminal 3,2020-03-30,216000
Tianjin LNG Terminal (Sinopec),2020-03-30,175000
Yamal LNG Terminal,2020-03-30,170000
Zeebrugge LNG Terminal,2020-03-30,170000
Atlantic LNG Terminal,2020-03-31,154948
Corpus Christi LNG Terminal,2020-03-31,159700
Map Ta Phut LNG Terminal 2,2020-03-31,165500
Rasgas LNG Terminal 3,2020-03-31,210100
Wenzhou LNG Terminal,2020-03-31,160000
Wheatstone LNG Terminal,2020-03-31,152482
Yung-An LNG Terminal,2020-03-31,151900
Himeji LNG Terminal,2020-04-01,180000
Krk FSRU,2020-04-01,145663
Rasgas LNG Terminal 3,2020-04-01,216200
Dunkirk LNG Terminal,2020-04-02,142612
Gate LNG Terminal,2020-04-02,174000
Montoir LNG Terminal,2020-04-02,170000
Yamal LNG Terminal,2020-04-02,172000
Gorgon LNG Terminal,2020-04-03,167158
Hammerfest LNG Snohvit Terminal,2020-04-03,147208
Pluto LNG Terminal,2020-04-03,174000
Rasgas LNG Terminal 3,2020-04-03,266000
Revithoussa LNG Terminal,2020-04-03,174000
Zhoushan LNG Terminal,2020-04-03,216200
Dunkirk LNG Terminal,2020-04-04,160000
Fos Tonkin LNG Terminal,2020-04-04,147208
Gate LNG Terminal,2020-04-04,174000
Rasgas LNG Terminal 3,2020-04-04,629420
Yamal LNG Terminal,2020-04-04,172000
Arzew-Bethioua LNG Terminal,2020-04-05,75500
