IMO,MMSI,ship_name,built_year,tanker_class,capacity_cmb,registered_country,is_capacity_estimated,total_LNG,delivery_counts,total_distance,first_delivery_record,last_delivery_record
9680188,311000227,ASIA INTEGRITY,2017,Standard  Conventional LNG Carriers,152615,Bahamas,1,5951985,39,562192,2020-01-14,2024-12-07
9680190,311000228,ASIA VENTURE,2017,Standard  Conventional LNG Carriers,152482,Bahamas,1,6709208,44,728370,2020-01-27,2024-12-25
9606948,311000182,ASIA VISION,2014,Standard  Conventional LNG Carriers,155000,Bahamas,0,7440000,48,580966,2020-02-02,2024-12-15
9884021,215906000,ASKLIPIOS,2021,Large Conventional LNG Carriers,174000,Malta,0,2262000,13,337490,2021-11-04,2024-05-26
9862920,215785000,ATTALOS,2021,Large Conventional LNG Carriers,174000,Malta,0,1914000,11,213515,2021-12-05,2024-04-22
9401295,224436000,BARCELONA KNUTSEN,2010,Large Conventional LNG Carriers,165000,Spain,0,1650000,10,326061,2021-09-14,2024-01-24
9613159,477314400,BEIDOU STAR,2015,Large Conventional LNG Carriers,167000,Hong Kong,0,7849000,47,633436,2020-01-22,2024-12-06
9256597,311745000,BERGE ARZEW,2004,Standard  Conventional LNG Carriers,138058,Bahamas,0,9387944,68,382176,2020-03-03,2024-12-11
9845788,215532000,BONITO LNG,2020,Large Conventional LNG Carriers,172717,Malta,1,2763472,16,456514,2020-07-31,2023-12-01
9768394,209356000,BORIS DAVYDOV,2018,Large Conventional LNG Carriers,173000,Cyprus,0,10726000,62,862865,2020-01-22,2024-12-31
9768368,212654000,BORIS VILKITSKY,2017,Large Conventional LNG Carriers,173000,Cyprus,0,10553000,61,967744,2020-01-25,2024-12-23
9766542,232006300,BRITISH ACHIEVER,2018,Large Conventional LNG Carriers,174000,United Kingdom (UK),0,4176000,24,442564,2020-03-24,2024-12-23
9766554,232006298,BRITISH CONTRIBUTOR,2018,Large Conventional LNG Carriers,174000,United Kingdom (UK),0,4872000,28,541174,2020-02-19,2024-12-31
9766566,232006297,BRITISH LISTENER,2019,Large Conventional LNG Carriers,174000,United Kingdom (UK),0,5394000,31,556352,2020-02-28,2024-12-31
9766578,232006296,BRITISH MENTOR,2019,Large Conventional LNG Carriers,174000,United Kingdom (UK),0,4698000,27,534260,2020-04-29,2024-12-27
9766530,232006301,BRITISH PARTNER,2018,Large Conventional LNG Carriers,174000,United Kingdom (UK),0,4698000,27,390152,2020-03-07,2024-12-31
9766580,232006295,BRITISH SPONSOR,2019,Large Conventional LNG Carriers,174000,United Kingdom (UK),0,4872000,28,502927,2020-01-12,2024-10-21
9388833,538003301,BU SAMRA,2008,Q-Max,267335,Marshall Islands,0,8554720,32,613234,2020-05-13,2024-12-31
9796793,311000846,BUSHU MARU,2019,Large Conventional LNG Carriers,180000,Bahamas,0,3240000,18,505148,2020-06-04,2024-04-14
9230062,258617000,BW BOSTON,2003,Standard  Conventional LNG Carriers,138059,Norway,0,3589534,26,257254,2020-02-15,2024-08-24
9368314,563089400,BW BRUSSELS,2009,Large Conventional LNG Carriers,159274,Singapore,0,4459672,28,505060,2020-03-29,2024-12-29
9896933,563162400,BW CASSIA,2022,Large Conventional LNG Carriers,173400,Singapore,0,1040400,6,186374,2023-03-15,2024-07-15
9243148,564988000,BW EVERETT,2003,Standard  Conventional LNG Carriers,138028,Singapore,0,2346476,17,274735,2020-05-28,2023-08-12
9873852,563126800,BW HELIOS,2021,Large Conventional LNG Carriers,173400,Singapore,0,2254200,13,216480,2021-12-19,2024-05-18
9758076,248587000,BW LILAC,2018,Large Conventional LNG Carriers,173400,Malta,0,4335000,25,485453,2020-04-09,2024-01-03
9792606,563082400,BW PAVILION ARANDA,2019,Large Conventional LNG Carriers,173400,Singapore,0,3121200,18,359825,2020-04-24,2024-03-04
9640645,565515000,BW PAVILION LEEARA,2015,Large Conventional LNG Carriers,160000,Singapore,0,2080000,13,286597,2020-02-15,2024-03-11
9640437,565513000,BW PAVILION VANDA,2015,Large Conventional LNG Carriers,160000,Singapore,0,2720000,17,398325,2020-05-22,2024-03-12
9850678,563104600,BW PAVILIONARANTHERA,2020,Large Conventional LNG Carriers,173400,Singapore,0,4161600,24,502066,2021-01-13,2024-12-31
9758064,563041600,BW TULIP,2018,Large Conventional LNG Carriers,173400,Singapore,0,4161600,24,519812,2020-03-07,2024-03-24
9246578,224263000,CADIZ KNUTSEN,2004,Standard  Conventional LNG Carriers,138000,Spain,0,828000,6,139142,2020-02-11,2024-05-26
9742819,248720000,CASTILLO DE CALDELAS,2018,Large Conventional LNG Carriers,175000,Malta,0,6475000,37,670496,2020-02-01,2024-12-18
9742807,248516000,CASTILLO DE MERIDA,2018,Large Conventional LNG Carriers,175000,Malta,0,4725000,27,545638,2020-01-25,2024-04-13
