IMO,MMSI,ship_name,built_year,tanker_class,capacity_cmb,registered_country,is_capacity_estimated,total_LNG,delivery_counts,total_distance,first_delivery_record,last_delivery_record
9690145,310722000,LNG FINIMA II,2015,Large Conventional LNG Carriers,170000,Bermuda,0,4930000,29,582775,2020-01-26,2024-11-17
9917555,636021083,LNG HARMONY,2023,Large Conventional LNG Carriers,170520,Liberia,0,682080,4,97751,2023-09-02,2024-08-26
9311581,310565000,LNG IMO,2008,Standard  Conventional LNG Carriers,148300,Bermuda,0,4893900,33,582607,2020-03-27,2024-11-17
9769855,477732500,LNG JIA XING,2019,Small LNG Carriers,45000,Hong Kong,0,1440000,32,174487,2022-06-27,2024-12-02
9311567,310534000,LNG KANO,2007,Standard  Conventional LNG Carriers,148300,Bermuda,0,4597300,31,661739,2020-02-07,2024-10-19
9692014,310721000,LNG LAGOS II,2016,Large Conventional LNG Carriers,170000,Bermuda,0,6120000,36,756063,2020-07-13,2024-10-13
9834325,477345600,LNG MEGREZ,2020,Large Conventional LNG Carriers,168835,Hong Kong,1,3039030,18,492568,2021-10-02,2024-12-31
9834301,477345800,LNG MERAK,2020,Large Conventional LNG Carriers,168873,Hong Kong,1,3208587,19,552816,2021-08-20,2024-12-16
9322815,310542000,LNG OGUN,2007,Standard  Conventional LNG Carriers,149600,Bermuda,0,3889600,26,542472,2020-03-09,2024-04-13
9311579,310550000,LNG ONDO,2007,Standard  Conventional LNG Carriers,148300,Bermuda,0,3559200,24,516173,2020-12-04,2024-12-16
9267003,310487000,LNG OYO,2005,Standard  Conventional LNG Carriers,145842,Bermuda,0,1895946,13,298533,2020-09-11,2024-11-28
9834313,477345700,LNG PHECDA,2020,Large Conventional LNG Carriers,169355,Hong Kong,1,3217745,19,483048,2021-08-14,2024-12-05
9690157,310719000,LNG PORT-HARCOURT II,2015,Large Conventional LNG Carriers,170000,Bermuda,0,4930000,29,574384,2020-02-12,2024-12-10
9262235,310479000,LNG RIVER NIGER,2006,Standard  Conventional LNG Carriers,138000,Bermuda,0,3864000,28,449575,2020-10-15,2024-04-17
9266982,310447000,LNG RIVER ORASHI,2004,Standard  Conventional LNG Carriers,145914,Bermuda,0,3939678,27,560129,2020-11-10,2024-10-30
9877133,538008979,LNG ROSENROT,2021,Large Conventional LNG Carriers,174000,Marshall Islands,0,2958000,17,348834,2021-03-17,2024-06-25
9774135,311000760,LNG SAKURA,2018,Large Conventional LNG Carriers,177000,Bahamas,0,2301000,13,293956,2021-09-01,2024-10-21
9771913,357315000,LNG SCHNEEWEISSCHEN,2018,Large Conventional LNG Carriers,180000,Panama,0,3960000,22,475615,2020-02-22,2024-05-23
9216303,310378000,LNG SOKOTO,2002,Standard  Conventional LNG Carriers,137300,Bermuda,0,2608700,19,401985,2020-02-08,2024-08-15
9872949,215762000,LNGSHIPS ATHENA,2021,Large Conventional LNG Carriers,174000,Malta,0,2784000,16,336415,2021-06-10,2024-05-23
9875800,215754000,LNGSHIPS EMPRESS,2021,Large Conventional LNG Carriers,174000,Malta,0,2784000,16,309248,2021-06-30,2024-05-23
9872901,215755000,LNGSHIPS MANHATTAN,2021,Large Conventional LNG Carriers,174000,Malta,0,2088000,12,203530,2021-09-28,2024-04-05
9490961,311038700,LOBITO,2011,Large Conventional LNG Carriers,160000,Bahamas,0,0,0,1442,,
9285952,311628000,LUSAIL,2005,Standard  Conventional LNG Carriers,145663,Bahamas,0,4515553,31,237818,2020-01-19,2024-05-11
9425277,356421000,M. PATRICIA CAMILA,2010,Large Conventional LNG Carriers,170000,Panama,0,1700000,10,214959,2021-09-17,2024-02-27
9705653,311000472,MACOMA,2017,Large Conventional LNG Carriers,170000,Bahamas,0,5100000,30,455905,2020-05-19,2024-12-04
9770921,311000476,MAGDALA,2018,Large Conventional LNG Carriers,172000,Bahamas,0,5160000,30,507104,2020-05-18,2024-12-24
9650054,241353000,MARAN GAS ALEXANDRIA,2015,Large Conventional LNG Carriers,164000,Greece,0,4756000,29,610866,2020-01-23,2024-12-23
9887217,241746000,MARAN GAS AMORGOS,2021,Large Conventional LNG Carriers,174000,Greece,0,1740000,10,236355,2022-02-21,2024-04-08
9701217,241414000,MARAN GAS AMPHIPOLIS,2016,Large Conventional LNG Carriers,160000,Greece,0,3200000,20,376232,2020-03-31,2024-09-04
9810379,241670000,MARAN GAS ANDROS,2019,Large Conventional LNG Carriers,173000,Greece,0,3460000,20,425836,2020-02-03,2024-01-20
9633422,241275000,MARAN GAS APOLLONIA,2014,Large Conventional LNG Carriers,161870,Greece,0,2266180,14,314661,2020-05-22,2023-12-07
9331048,240639000,MARAN GAS CORONIS,2007,Standard  Conventional LNG Carriers,145700,Greece,0,1602700,11,151755,2020-10-11,2024-05-02
9633173,241287000,MARAN GAS DELPHI,2014,Large Conventional LNG Carriers,159800,Greece,0,2237200,14,290714,2020-02-18,2024-02-28
9627497,241291000,MARAN GAS EFESSOS,2014,Large Conventional LNG Carriers,159800,Greece,0,2237200,14,185291,2020-07-12,2024-01-23
9682605,241425000,MARAN GAS HECTOR,2016,Large Conventional LNG Carriers,174000,Greece,0,4350000,25,471779,2020-01-16,2024-03-19
9892717,241745000,MARAN GAS ITHACA,2021,Large Conventional LNG Carriers,174000,Greece,0,1914000,11,233466,2021-12-07,2024-04-08
9883742,241748000,MARAN GAS KALYMNOS,2021,Large Conventional LNG Carriers,174000,Greece,0,3828000,22,132313,2021-11-18,2024-05-26
9627502,241351000,MARAN GAS LINDOS,2015,Large Conventional LNG Carriers,159800,Greece,0,2237200,14,236642,2020-03-21,2024-08-05
9732371,241452000,MARAN GAS OLYMPIAS,2017,Large Conventional LNG Carriers,160000,Greece,0,1600000,10,224412,2021-02-23,2024-03-08
9709489,241424000,MARAN GAS PERICLES,2016,Large Conventional LNG Carriers,164000,Greece,0,3608000,22,370434,2020-02-14,2024-10-22
9658240,241352000,MARAN GAS TROY,2015,Large Conventional LNG Carriers,160000,Greece,0,3520000,22,311730,2020-02-03,2024-07-31
9709491,241404000,MARAN GAS ULYSSES,2017,Large Conventional LNG Carriers,164000,Greece,0,3116000,19,342630,2021-03-15,2024-07-22
9732369,241467000,MARAN GAS VERGINA,2016,Large Conventional LNG Carriers,160000,Greece,0,2400000,15,336016,2020-10-18,2024-02-23
9659725,636017445,MARIA ENERGY,2016,Large Conventional LNG Carriers,160000,Liberia,0,2720000,17,375480,2020-02-21,2024-02-28
9770438,563073300,MARVEL CRANE,2019,Large Conventional LNG Carriers,177000,Singapore,0,2655000,15,447371,2020-03-02,2023-07-06
9759240,374375000,MARVEL EAGLE,2018,Standard  Conventional LNG Carriers,155000,Panama,0,3410000,22,616523,2020-02-23,2024-06-10
9760768,563048500,MARVEL FALCON,2018,Large Conventional LNG Carriers,174000,Singapore,0,2958000,17,515828,2020-02-28,2024-05-16
9760770,563063200,MARVEL HAWK,2018,Large Conventional LNG Carriers,174000,Singapore,0,3132000,18,473668,2020-02-05,2024-04-25
9770440,374022000,MARVEL HERON,2019,Large Conventional LNG Carriers,177000,Panama,0,3009000,17,471843,2020-02-25,2024-04-04
9760782,563069500,MARVEL KITE,2019,Large Conventional LNG Carriers,174000,Singapore,0,3654000,21,575733,2020-02-19,2024-03-19
9759252,356051000,MARVEL PELICAN,2019,Standard  Conventional LNG Carriers,155000,Panama,0,2635000,17,334186,2020-04-27,2024-10-24
9770945,311000478,MEGARA,2018,Large Conventional LNG Carriers,172000,Bahamas,0,4300000,25,519729,2020-02-20,2024-12-16
9397303,538003365,MEKAINES,2009,Q-Max,266000,Marshall Islands,0,9310000,35,717943,2020-01-19,2024-12-25
9337729,538003360,MESAIMEER,2009,Q-Flex,216200,Marshall Islands,0,9945200,46,655155,2020-03-03,2024-12-28
9307190,310510000,MET. JANE ELIZABETH,2006,Standard  Conventional LNG Carriers,145700,Bermuda,0,1894100,13,334160,2020-03-20,2024-03-21
9321768,310540000,METHANE ALISON VICTO,2007,Standard  Conventional LNG Carriers,145700,Bermuda,0,4371000,30,334476,2022-04-21,2024-10-06
9412880,310584000,METHANE JULIA LOUISE,2010,Large Conventional LNG Carriers,170000,Bermuda,0,5100000,30,516320,2020-03-07,2024-12-26
9253715,538004164,METHANE PRNCESS,2003,Standard  Conventional LNG Carriers,138158,Marshall Islands,0,1105264,8,168721,2021-01-27,2024-03-06
9321732,229129000,MILAHA QATAR,2006,Standard  Conventional LNG Carriers,145000,Malta,0,6960000,48,347895,2020-04-06,2024-10-18
9255854,229130000,MILAHA RAS LAFFAN,2004,Standard  Conventional LNG Carriers,138000,Malta,0,6762000,49,503450,2020-03-16,2024-12-09
9885855,256047000,MINERVA AMORGOS,2022,Large Conventional LNG Carriers,162942,Malta,1,814710,5,111311,2023-10-20,2024-07-15
9877341,229099000,MINERVA CHIOS,2021,Large Conventional LNG Carriers,173400,Malta,0,2080800,12,276137,2021-12-30,2024-04-03
9869942,215890000,MINERVA KALYMNOS,2021,Large Conventional LNG Carriers,173400,Malta,0,3641400,21,312657,2021-03-29,2024-01-30
9854375,215889000,MINERVA LIMNOS,2021,Large Conventional LNG Carriers,175113,Malta,1,2101356,12,235634,2022-02-07,2024-04-09
9885996,538009374,MOL HESTIA,2021,Large Conventional LNG Carriers,174000,Marshall Islands,0,1566000,9,265535,2021-10-13,2024-04-05
9337755,538003212,MOZAH,2008,Q-Max,266000,Marshall Islands,0,9044000,34,721683,2020-02-04,2024-12-30
9074638,636010457,MRAWEH,1996,Standard  Conventional LNG Carriers,135000,Liberia,0,3510000,26,336942,2020-09-11,2024-12-28
9878876,636021030,MU LAN,2021,Large Conventional LNG Carriers,174000,Liberia,0,2436000,14,282695,2022-02-01,2024-10-21
9074626,636010373,MUBARAZ,1996,Standard  Conventional LNG Carriers,135000,Liberia,0,4050000,30,425055,2020-04-09,2024-11-14
9705641,311000475,MUREX,2017,Large Conventional LNG Carriers,160000,Bahamas,0,3840000,24,550581,2021-03-15,2024-12-31
9360805,538003100,MURWAB,2008,Q-Flex,210100,Marshall Islands,0,7563600,36,587472,2020-04-18,2024-05-13
9770933,311000477,MYRINA,2018,Large Conventional LNG Carriers,172000,Bahamas,0,4988000,29,558982,2020-05-30,2024-12-29
9324277,636013234,NEO ENERGY,2007,Standard  Conventional LNG Carriers,149700,Liberia,0,2095800,14,327570,2020-01-26,2023-08-04
9929106,352001786,NEW APEX,2023,Large Conventional LNG Carriers,174000,Panama,0,696000,4,51271,2023-03-12,2024-04-06
9750660,477327300,NIKOLAY URVANTSEV,2019,Large Conventional LNG Carriers,170000,Hong Kong,0,11220000,66,938705,2020-01-16,2024-12-24
9750725,311000631,NIKOLAY YEVGENOV,2019,Large Conventional LNG Carriers,172000,Bahamas,0,11008000,64,1042847,2020-01-11,2024-12-31
9768526,209351000,NIKOLAY ZUBOV,2019,Large Conventional LNG Carriers,173000,Cyprus,0,10207000,59,1006733,2020-01-26,2024-12-29
8608872,503000050,NORTHWEST SANDERLING,1989,Small LNG Carriers,125452,Australia,0,4892628,39,541282,2020-01-27,2024-03-05
8913150,503002000,NORTHWEST SANDPIPER,1993,Small LNG Carriers,125000,Australia,0,5250000,42,569771,2020-02-01,2024-03-16
8608884,503000051,NORTHWEST SNIPE,1990,Small LNG Carriers,127544,Australia,0,6122112,48,618802,2020-01-19,2024-03-29
9045132,503009000,NW STORMPETREL,1994,Small LNG Carriers,127525,Australia,0,6121200,48,600182,2020-01-13,2024-03-23
9315692,538002846,OB RIVER,2007,Standard  Conventional LNG Carriers,150000,Marshall Islands,0,1950000,13,249106,2020-05-27,2024-04-11
9397353,538003363,ONAIZA,2009,Q-Flex,209220,Marshall Islands,0,8787240,42,667369,2020-03-05,2024-12-03
9889904,256285000,ORION SEA,2022,Large Conventional LNG Carriers,174000,Malta,0,1044000,6,104381,2023-02-24,2024-07-29
9761267,605076070,OUGARTA,2017,Large Conventional LNG Carriers,170000,Algeria,0,9690000,57,271501,2020-05-19,2024-10-02
9636735,229582000,PALU LNG,2014,Large Conventional LNG Carriers,159800,Malta,0,1757800,11,245116,2020-01-31,2024-03-14
9750256,477168300,PAN AFRICA,2019,Large Conventional LNG Carriers,174000,Hong Kong,0,4524000,26,408203,2020-06-19,2024-12-31
9750232,477142700,PAN AMERICAS,2018,Large Conventional LNG Carriers,174000,Hong Kong,0,4872000,28,546358,2020-06-10,2024-12-27
9750220,477096200,PAN ASIA,2017,Large Conventional LNG Carriers,174000,Hong Kong,0,3828000,22,439794,2021-02-24,2024-12-31
9750244,477157300,PAN EUROPE,2018,Large Conventional LNG Carriers,174000,Hong Kong,0,5394000,31,485103,2020-01-24,2024-12-28
9613135,477518900,PAPUA,2015,Large Conventional LNG Carriers,167000,Hong Kong,0,6346000,38,635835,2020-02-08,2024-10-29
9275074,259393000,PIONEER KNUTSEN,2004,Small LNG Carriers,1100,Norway,0,0,0,0,,
9246621,273211890,PORTOVYY,2003,Standard  Conventional LNG Carriers,135273,Russia,0,135273,1,116,2024-07-12,2024-07-12
9256793,525401281,PRIMA CONCORD,2004,Standard  Conventional LNG Carriers,138273,Indonesia,0,1935822,14,73710,2023-04-28,2024-12-31
9810549,372487000,PRISM AGILITY,2019,Large Conventional LNG Carriers,180000,Panama,0,2520000,14,413771,2020-04-01,2023-12-29
9810551,371086000,PRISM BRILLIANCE,2019,Large Conventional LNG Carriers,180000,Panama,0,2160000,12,323058,2020-06-30,2024-08-24
9888481,352986205,PRISM COURAGE,2021,Large Conventional LNG Carriers,174000,Panama,0,1218000,7,216824,2022-01-08,2024-10-14
9904651,352001216,PRISM DIVERSITY,2022,Large Conventional LNG Carriers,180000,Panama,0,720000,4,123627,2023-06-03,2024-05-15
9630028,626432000,PSKOV,2014,Large Conventional LNG Carriers,170200,Gabon,0,1191400,7,99708,2024-01-24,2024-12-18
9851787,215524000,QOGIR,2020,Large Conventional LNG Carriers,174000,Malta,0,4350000,25,544836,2020-06-23,2024-05-02
9443413,538003362,RASHEEDA,2010,Q-Max,265000,Marshall Islands,0,9010000,34,683009,2020-03-07,2024-10-30
9874040,228440900,RAVENNA KNUTSEN,2021,Small LNG Carriers,30000,France,0,0,0,0,,
9825568,224989000,RIAS BAIXAS KNUTSEN,2019,Large Conventional LNG Carriers,180000,Spain,0,4320000,24,430732,2020-01-17,2024-05-23
9477593,259082000,RIBERA DUERO KNUTSEN,2010,Large Conventional LNG Carriers,173000,Norway,0,6228000,36,723162,2020-02-06,2024-12-26
9721736,224451000,RIOJA KNUTSEN,2016,Large Conventional LNG Carriers,175000,Spain,0,4725000,27,556492,2020-02-14,2024-04-03
9750713,311000627,RUDOLF SAMOYLOVICH,2018,Large Conventional LNG Carriers,172000,Bahamas,0,12040000,70,995884,2020-02-12,2024-12-31
9849887,626433000,SCF LA PEROUSE,2020,Large Conventional LNG Carriers,171588,Gabon,1,0,0,0,,
9339260,538003267,SEAPEAK ARWA,2008,Standard  Conventional LNG Carriers,153000,Marshall Islands,0,3366000,22,455714,2020-05-09,2024-05-14
9771080,408919000,SEAPEAK BAHRAIN,2018,Large Conventional LNG Carriers,174000,Bahrain,0,4002000,22,452787,2021-01-05,2024-07-22
9236420,224941000,SEAPEAK CATALUNYA,2003,Standard  Conventional LNG Carriers,135000,Spain,0,3240000,24,299500,2020-02-28,2024-03-06
9681687,311000246,SEAPEAK CREOLE,2016,Large Conventional LNG Carriers,160000,Bahamas,0,5280000,33,558560,2020-03-09,2024-12-08
9781918,311000665,SEAPEAK GLASGOW,2018,Large Conventional LNG Carriers,174000,Bahamas,0,5568000,30,458912,2020-07-27,2024-12-30
9230048,224985000,SEAPEAK HISPANIA,2002,Standard  Conventional LNG Carriers,138517,Spain,0,2216272,16,379934,2020-02-10,2024-12-30
9369904,219061000,SEAPEAK MERIDIAN,2010,Large Conventional LNG Carriers,165772,Denmark,0,2486580,15,340782,2020-09-15,2024-04-04
9336737,311000135,SEAPEAK METHANE,2008,Large Conventional LNG Carriers,165500,Bahamas,0,3144500,19,323290,2020-02-01,2024-07-25
9721401,311000520,SEAPEAK VANCOUVER,2017,Large Conventional LNG Carriers,160000,Bahamas,0,2400000,15,321328,2020-10-26,2024-10-18
9418365,538003348,SHAGRA,2009,Q-Max,266398,Marshall Islands,0,8791134,33,815191,2020-02-20,2024-12-26
9035852,636010085,SHAHAMAH,1994,Standard  Conventional LNG Carriers,135490,Liberia,0,2845290,21,250085,2020-11-22,2024-11-17
9915894,477836100,SHAOLIN,2022,Large Conventional LNG Carriers,174198,Hong Kong,0,2787168,16,318165,2023-01-03,2024-12-24
9320386,240486000,SIMAISMA,2006,Standard  Conventional LNG Carriers,145700,Greece,0,2622600,18,242122,2020-03-27,2024-02-20
9693161,373808000,SK AUDACE,2017,Large Conventional LNG Carriers,180000,Panama,0,3420000,19,435352,2020-02-20,2024-08-07
9693173,354184000,SK RESOLUTE,2018,Large Conventional LNG Carriers,180082,Panama,0,3781722,21,517346,2020-04-30,2024-11-30
9902902,352001378,SM ALBATROSS,2022,Large Conventional LNG Carriers,170520,Panama,0,1705200,10,171883,2023-01-17,2024-12-04
9761827,370895000,SM EAGLE,2017,Large Conventional LNG Carriers,174000,Panama,0,3828000,22,587152,2020-05-22,2024-11-19
9761839,355658000,SM SEAHAWK,2017,Large Conventional LNG Carriers,174000,Panama,0,2436000,14,396244,2020-07-26,2024-05-03
9482304,311038100,SONANGOL BENGUELA,2011,Large Conventional LNG Carriers,160000,Bahamas,0,0,0,0,,
9482299,311027800,SONANGOL ETOSHA,2011,Large Conventional LNG Carriers,160000,Bahamas,0,0,0,0,,
9475600,311027900,SONANGOL SAMBIZANGA,2011,Large Conventional LNG Carriers,160500,Bahamas,0,1605000,10,243515,2023-02-17,2024-11-29
9613147,477476100,SOUTHERN CROSS,2015,Large Conventional LNG Carriers,172000,Hong Kong,0,6020000,35,413718,2020-02-28,2024-12-15
9475208,311038500,SOYO,2011,Large Conventional LNG Carriers,160000,Bahamas,0,0,0,0,,
9403645,372307000,TAITAR NO.2,2009,Standard  Conventional LNG Carriers,150000,Panama,0,5550000,37,674025,2020-06-29,2024-04-27
9337731,538002921,TEMBEK,2007,Q-Flex,216000,Marshall Islands,0,7560000,35,702283,2020-02-21,2024-11-29
9892456,241766000,TENERGY,2022,Large Conventional LNG Carriers,174000,Greece,0,2088000,12,231565,2022-03-25,2024-02-15
9761243,605076060,TESSALA,2016,Large Conventional LNG Carriers,170000,Algeria,0,11560000,68,316818,2020-03-03,2024-10-16
9854765,257575000,TRAIANO KNUTSEN,2020,Large Conventional LNG Carriers,180000,Norway,0,5400000,30,563432,2020-10-01,2024-08-27
9074652,636010647,UMM AL ASHTAN,1997,Standard  Conventional LNG Carriers,135000,Liberia,0,4455000,33,473389,2020-06-03,2024-11-20
9308431,240411000,UMM BAB,2005,Standard  Conventional LNG Carriers,145700,Greece,0,3933900,27,363145,2020-03-29,2024-09-13
9372731,538003300,UMM SLAL,2008,Q-Max,267335,Marshall Islands,0,9356725,35,671447,2020-03-02,2024-12-04
9750701,477150100,VLADIMIR RUSANOV,2018,Large Conventional LNG Carriers,172000,Hong Kong,0,7740000,45,677084,2020-01-23,2024-12-27
9750658,477194200,VLADIMIR VIZE,2018,Large Conventional LNG Carriers,170000,Hong Kong,0,10540000,62,834590,2020-01-14,2024-12-11
9750737,311000632,VLADIMIR VORONIN,2019,Large Conventional LNG Carriers,170000,Bahamas,0,11220000,66,987205,2020-01-13,2024-12-30
9627966,256278000,WILPRIDE,2013,Large Conventional LNG Carriers,155900,Malta,0,1714900,11,166252,2022-12-29,2024-06-25
9810367,241669000,WOODSIDE REES WITHER,2019,Large Conventional LNG Carriers,173000,Greece,0,9169000,53,806449,2020-01-30,2024-12-09
9859753,241712000,WOODSIDECHARLESALLEN,2020,Large Conventional LNG Carriers,174000,Greece,0,6960000,40,551506,2020-11-29,2024-12-28
9915909,477846500,WUDANG,2022,Large Conventional LNG Carriers,174000,Hong Kong,0,1914000,11,182683,2023-02-12,2024-11-15
9210828,636022142,XINHANG ENERGY,2002,Standard  Conventional LNG Carriers,135000,Liberia,0,3105000,23,111116,2022-10-23,2024-12-04
9750672,311000634,YAKOV GAKKEL,2019,Large Conventional LNG Carriers,170000,Bahamas,0,11730000,69,984263,2020-01-24,2024-12-31
9781920,311000666,YAMAL SPIRIT,2019,Large Conventional LNG Carriers,174000,Bahamas,0,1218000,7,157994,2020-10-11,2022-09-11
9629586,538005072,YENISEI RIVER,2013,Standard  Conventional LNG Carriers,155000,Marshall Islands,0,1395000,9,127547,2020-09-02,2023-10-12
9879674,241743000,YIANNIS,2021,Large Conventional LNG Carriers,174000,Greece,0,1914000,11,220378,2022-04-26,2024-04-08
9431214,538003346,ZARGA,2010,Q-Max,265000,Marshall Islands,0,6625000,24,528501,2020-02-27,2024-12-31
9650042,241289000,MARAN GAS SPARTA,2015,Large Conventional LNG Carriers,161870,GREECE,0,0,0,0,,
9864667,215574000,VIVIT AMERICAS LNG,2020,Large Conventional LNG Carriers,174000,MALTA,0,0,0,0,,
9753026,241637000,WOODSIDE CHANEY,2019,Large Conventional LNG Carriers,160000,GREECE,0,0,0,0,,
9943475,256232000,CLEAN RESOLUTION,2023,Large Conventional LNG Carriers,200000,MALTA,0,0,0,0,,
9269960,310519000,LNG LOKOJA,2006,Standard  Conventional LNG Carriers,148300,BERMUDA,0,0,0,0,,
9791212,311000580,SOSHU MARU,2019,Large Conventional LNG Carriers,177269,BAHAMAS,0,0,0,0,,
9845764,215503000,LA SEINE,2020,Large Conventional LNG Carriers,172715,MALTA,1,0,0,0,,
9490959,311038600,MALANJE,2011,Large Conventional LNG Carriers,160000,BAHAMAS,0,0,0,0,,
9627954,256276000,WILFORCE,2013,Large Conventional LNG Carriers,155900,NORWAY INT REG,0,155900,1,1984,2024-12-04,2024-12-04
9516129,310597000,METHANE BECKI ANNE,2010,Large Conventional LNG Carriers,170000,BERMUDA,0,0,0,0,,
9779226,563189600,DIAMOND GAS ORCHID,2018,Large Conventional LNG Carriers,165000,BAHAMAS,0,0,0,0,,
9796781,311000579,NOHSHU MARU,2019,Large Conventional LNG Carriers,180000,BAHAMAS,0,0,0,0,,
9902926,228451900,ORION BOHEMIA,2022,Large Conventional LNG Carriers,170520,MALTA,0,0,0,0,,
9889916,256287000,ORION SUN,2022,Large Conventional LNG Carriers,174000,LIBERIA,0,174000,1,0,2024-10-14,2024-10-14
9132818,538009771,ZEKREET,1998,Standard  Conventional LNG Carriers,137482,MARSHALL ISLANDS,0,137482,1,9988,2024-10-12,2024-10-12
9259276,224152000,SEAPEAK MADRID,2004,Standard  Conventional LNG Carriers,135000,SPAIN,0,0,0,0,,
9187356,525020429,TRIPUTRA,2001,Small LNG Carriers,22000,INDONESIA,0,0,0,0,,
9308479,477985700,DAPENG SUN,2008,Standard  Conventional LNG Carriers,147000,CHINA,0,0,0,0,,
9630004,636016219,VELIKIY NOVGOROD,2014,Large Conventional LNG Carriers,170200,LIBERIA,0,1191400,7,24657,2023-03-27,2024-10-15
9707510,310583000,GASLOG GIBRALTAR,2016,Large Conventional LNG Carriers,174000,BERMUDA,0,0,0,0,,
9325702,311133000,AL DAAYEN,2007,Standard  Conventional LNG Carriers,151700,BAHAMAS,0,151700,1,1378,2024-08-23,2024-08-23
9902756,636020861,VIVIT ARABIA LNG,2022,Large Conventional LNG Carriers,174000,LIBERIA,0,0,0,0,,
9873840,563121700,BW LESMES,2021,Large Conventional LNG Carriers,173400,SINGAPORE,0,0,0,0,,
9672832,477584200,CESI QINGDAO,2017,Large Conventional LNG Carriers,174000,CHINESE HK,0,0,0,0,,
9672844,477884800,CESI BEIHAI,2017,Large Conventional LNG Carriers,174000,CHINESE HK,0,174000,1,9380,2024-09-22,2024-09-22
9682588,241365000,MARAN GAS ACHILLES,2016,Large Conventional LNG Carriers,174000,GREECE,0,0,0,0,,
9672820,477348600,CESI GLADSTONE,2016,Large Conventional LNG Carriers,174000,CHINESE HK,0,0,0,0,,
9321653,533953000,SERI ANGGUN,2007,Standard  Conventional LNG Carriers,145000,MALAYSIA,0,0,0,0,,
9779238,563189500,DIAMOND GAS ROSE,2018,Large Conventional LNG Carriers,165000,BAHAMAS,0,0,0,0,,
9904170,259147000,SANTANDER KNUTSEN,2022,Large Conventional LNG Carriers,170520,NORWAY INT REG,0,170520,1,562,2024-07-24,2024-07-24
9886732,229427000,CLEAN CAJUN,2022,Large Conventional LNG Carriers,180000,MALTA,0,0,0,0,,
9896452,563183600,SERI DAYA,2023,Large Conventional LNG Carriers,174000,SINGAPORE,0,0,0,0,,
9337975,309599000,DUHAIL,2008,Q-Flex,209220,BAHAMAS,0,0,0,0,,
9262223,310478000,LNG CROSS RIVER,2004,Standard  Conventional LNG Carriers,141000,NIGERIA,0,0,0,0,,
9767950,241579000,MARAN GAS SPETSES,2018,Large Conventional LNG Carriers,160000,GREECE,0,0,0,0,,
9766889,636018010,PATRIS,2018,Large Conventional LNG Carriers,173400,LIBERIA,0,0,0,0,,
9918145,228420700,EL FERROL KNUTSEN,2023,Large Conventional LNG Carriers,170520,FRANCE,0,0,0,0,,
9862346,215573000,PEARL LNG,2020,Large Conventional LNG Carriers,174000,MALTA,0,0,0,0,,
9682576,241355000,MARAN GAS LETO,2016,Large Conventional LNG Carriers,174000,GREECE,0,174000,1,7520,2024-11-09,2024-11-09
9626285,310664000,GASLOG SKAGEN,2013,Standard  Conventional LNG Carriers,155000,BERMUDA,0,0,0,0,,
9336749,538001576,SEAPEAK MARIB,2008,Large Conventional LNG Carriers,165500,MARSHALL ISLANDS,0,0,0,0,,
9709037,538007620,FLEX RAINBOW,2018,Large Conventional LNG Carriers,170000,MARSHALL ISLANDS,0,0,0,0,,
9774628,311000583,LNG JUNO,2018,Large Conventional LNG Carriers,180000,BAHAMAS,0,180000,1,27956,2024-07-21,2024-07-21
9943841,538010295,AMORE MIO I,2023,Large Conventional LNG Carriers,174000,MARSHALL ISLANDS,0,0,0,0,,
